Incident ID ,Offence Code,CR Number,Dispatch Date / Time,NIBRS Code,Victims,Crime Name,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Name,Street Type,Start_Date_Time,End_Date_Time,Latitude,Longitude,Police District Number,Location
201318551,2202,210004194,02/02/2021 14:11,220,1,Burglary/Breaking and Entering,GERMANTOWN,18800 BLK  PINE RIDGE LA,GERMANTOWN,MD,20874,MCPD,Residence -Townhouse/Duplex,N,5N2,594,18800,PINE RIDGE,LA,01/31/2021 05:00:00 PM,02/02/2021 10:00,39.16363889,-77.27122328,5D,"(39.1636, -77.2712)"
201337897,5707,210026392,07/09/2021 11:16,90J,1,Trespass of Real Property,ROCKVILLE,15900 BLK  FREDERICK RD,DERWOOD,MD,20855,MCPD,Residence - Apartment/Condo,A,1A4,746,15900,FREDERICK,RD,07/09/2021 11:16,,39.11563,-77.1663,1D,"(39.1156, -77.1663)"
201355562,9042,210049217,12/04/2021 9:27,90Z,1,All Other Offenses,MONTGOMERY VILLAGE,7700 BLK  RYDAL TER,DERWOOD,MD,20855,MCPD,Residence - Single Family,P,6P3,551,7700,RYDAL,TER,12/03/2021 12:00,12/04/2021 10:00,39.1351,-77.1574,6D,"(39.1351, -77.1574)"
201346631,1313,210037902,09/25/2021 12:38:55 AM,13B,1,Simple Assault,WHEATON,18100 BLK  PRINCE PHILIP DR,OLNEY,MD,20832,MCPD,Residence - Driveway,J,4J2,401,18100,PRINCE PHILIP,DR,09/25/2021 12:38:00 AM,,39.15417,-77.0569,4D,"(39.1542, -77.0569)"
201338423,2303,210027589,07/17/2021 02:46:46 AM,23C,1,Shoplifting,TAKOMA PARK,1300 BLK  UNIVERSITY BLV E,TAKOMA PARK,MD,20912,TPPD,Convenience Store,,,807,1300,UNIVERSITY,BLV,07/17/2021 02:46:00 AM,,39.03654,-77.031,TPPD,"(39.0365, -77.031)"
201321905,1399,210007911,03/02/2021 16:27,13B,1,Simple Assault,MONTGOMERY VILLAGE,1  BLK  SWAN STREAM CT,GAITHERSBURG,MD,20877,MCPD,Residence - Single Family,R,6R3,542,1,SWAN STREAM,CT,03/04/2021 11:54,,39.15501706,-77.15867517,6D,"(39.155, -77.1587)"
201321905,3801,210007911,03/02/2021 16:27,90F,1,"Family Offenses, NonViolent",MONTGOMERY VILLAGE,1  BLK  SWAN STREAM CT,GAITHERSBURG,MD,20877,MCPD,Residence - Single Family,R,6R3,542,1,SWAN STREAM,CT,03/04/2021 11:54,,39.15501706,-77.15867517,6D,"(39.155, -77.1587)"
201330827,2404,210018267,05/15/2021 06:33:49 AM,240,1,Motor Vehicle Theft,BETHESDA,5400 BLK  DUVALL DR,BETHESDA,MD,20816,MCPD,Residence - Driveway,E,2.00E+01,2,5400,DUVALL,DR,05/15/2021 03:00:00 AM,,38.95084713,-77.10824862,2D,"(38.9508, -77.1082)"
201322439,2404,210008483,,240,1,Motor Vehicle Theft,SILVER SPRING,3100 BLK  AUTOMOBILE BLV,SILVER SPRING,MD,20904,MCPD,Auto Dealership,I,3I2,378,3100,AUTOMOBILE,BLV,03/03/2021 15:57,,39.08107667,-76.94633976,3D,"(39.0811, -76.9463)"
201322439,2610,210008483,,26F,1,Identity Theft,SILVER SPRING,3100 BLK  AUTOMOBILE BLV,SILVER SPRING,MD,20904,MCPD,Auto Dealership,I,3I2,378,3100,AUTOMOBILE,BLV,03/03/2021 15:57,,39.08107667,-76.94633976,3D,"(39.0811, -76.9463)"
201337892,2399,210026904,07/12/2021 22:48,23H,1,All other Larceny,GERMANTOWN,20000 BLK  CENTURY BLV,GERMANTOWN,MD,20874,MCPD,Restaurant,N,5N1,702,20000,CENTURY,BLV,07/12/2021 22:48,,39.18396164,-77.26170861,5D,"(39.184, -77.2617)"
